2024-01-09 10:31:34 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-01-09 10:31:34 0 [Note] InnoDB: Uses event mutexes
2024-01-09 10:31:34 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-01-09 10:31:34 0 [Note] InnoDB: Number of pools: 1
2024-01-09 10:31:34 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-01-09 10:31:34 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2024-01-09 10:31:34 0 [Note] InnoDB: Completed initialization of buffer pool
2024-01-09 10:31:35 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2024-01-09 10:31:35 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 312992.
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=231] with future log sequence number 303582
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 303582
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 303538
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 303538
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 303494
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 303494
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 303450
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 303450
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 303406
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 303406
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=226] with future log sequence number 303362
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 303362
2024-01-09 10:31:35 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 303318
